iterations,rep,rep_instance,fitness,kry_3,kry_4,kry_5
400,0,2,21736.75,9449,283875,9449
400,0,3,21958.86,9558,284286,9558
400,0,4,21232.42,9213,280642,9213
400,0,5,21259.510000000002,9234,279151,9234
400,0,6,21992.91,9515,296291,9515
400,0,7,22864.72,10090,268472,10090
400,0,8,22467.85,9887,269385,9887
400,0,9,20988.61,9076,283661,9076
400,1,0,19940.59,8585,277059,8585
400,1,1,19715.3,8529,265730,8529
400,1,2,21913.22,9461,299122,9461
400,1,3,21395.309999999998,9316,276331,9316
400,1,4,20994.940000000002,9156,268294,9156
400,1,5,20801.09,9058,268509,9058
400,1,6,22206.84,9664,287884,9664
400,1,7,21701.760000000002,9455,279176,9455
400,1,8,18955.43,8099,275743,8099
400,1,9,20559.73,8905,274973,8905
400,2,0,21033.46,9221,259146,9221
400,2,1,19910.510000000002,8663,258451,8663
400,2,2,20998.059999999998,9163,267206,9163
400,2,3,19308.33,8329,265033,8329
400,2,4,20701.27,8987,272727,8987
400,2,5,19910.42,8671,256842,8671
400,2,6,20214.239999999998,8783,264824,8783
400,2,7,22084.59,9770,254459,9770
400,2,8,20601.07,8884,283307,8884
400,2,9,20658.489999999998,8864,293049,8864
400,3,0,22344.95,9770,280495,9770
400,3,1,23200.52,10176,284852,10176
400,3,2,21953.17,9504,294517,9504
400,3,3,22889.53,9943,300353,9943
400,3,4,22971.08,9956,305908,9956
400,3,5,20087.05,8590,290705,8590
400,3,6,23503.63,10247,300963,10247
400,3,7,22495.65,9711,307365,9711
400,3,8,23163.62,10155,285362,10155
400,3,9,22219.2,9680,285920,9680
400,4,0,22446.46,9746,295446,9746
400,4,1,23131.489999999998,10128,287549,10128
400,4,2,23157.989999999998,10051,305599,10051
400,4,3,22507.53,9851,280553,9851
400,4,4,22725.059999999998,9884,295706,9884
400,4,5,21824.85,9445,293485,9445
400,4,6,22573.010000000002,9797,297901,9797
400,4,7,21679.4,9380,291940,9380
400,4,8,21500.97,9289,292297,9289
400,4,9,22547.309999999998,9840,286731,9840
400,5,0,22272.809999999998,9698,287681,9698
400,5,1,23159.45,10079,300145,10079
400,5,2,20961.97,9032,289797,9032
400,5,3,22912.33,10085,274233,10085
400,5,4,22265.059999999998,9769,272706,9769
400,5,5,20987.58,9046,289558,9046
400,5,6,21961.89,9512,293789,9512
400,5,7,20474.05,8841,279205,8841
400,5,8,22612.1,9834,294410,9834
400,5,9,22169.760000000002,9695,277976,9695
400,6,0,21722.28,9551,262028,9551
400,6,1,19369.66,8297,277566,8297
400,6,2,20528.65,8879,277065,8879
400,6,3,22755.239999999998,10079,259724,10079
400,6,4,21497.72,9430,263772,9430
400,6,5,20416.92,8816,278492,8816
400,6,6,21934.42,9609,271642,9609
400,6,7,19499.18,8343,281318,8343
400,6,8,21279.46,9265,274946,9265
400,6,9,20029.08,8604,282108,8604
400,7,0,20078.29,8701,267629,8701
400,7,1,20280.02,8788,270402,8788
400,7,2,22361.41,9894,257341,9894
400,7,3,21467.32,9327,281332,9327
400,7,4,21435.86,9337,276186,9337
400,7,5,20386.05,8904,257805,8904
400,7,6,21868.86,9548,277286,9548
400,7,7,20902.86,9145,261286,9145
400,7,8,21319.15,9302,271515,9302
